X,Y
-20.590794,-80.68862
-20.600151,-80.6774
-20.60913,-80.66617
-20.61774,-80.65457
-20.627096,-80.64334
-20.636078,-80.63211
-20.64581,-80.620514
-20.655539,-80.60928
-20.666018,-80.59843
-20.676497,-80.587204
-20.687351,-80.57597
-20.698204,-80.56474
-20.709057,-80.55315
-20.719536,-80.541916
-20.729641,-80.53032
-20.739746,-80.51909
-20.749477,-80.50823
-20.759207,-80.49701
-20.768936,-80.48615
-20.779041,-80.47493
-20.78952,-80.46407
-20.800375,-80.45284
-20.810854,-80.441986
-20.821707,-80.43114
-20.832186,-80.42029
-20.842665,-80.40943
-20.853518,-80.39821
-20.863249,-80.38735
-20.872978,-80.37612
-20.882336,-80.3649
-20.891691,-80.35367
-20.900673,-80.34207
-20.91003,-80.33084
-20.920135,-80.31924
-20.929865,-80.308014
-20.93997,-80.2964
-20.950075,-80.284805
-20.960928,-80.273575
-20.972157,-80.26198
-20.98301,-80.25
-20.993488,-80.2384
-21.00322,-80.22755
-21.012575,-80.21632
-21.02081,-80.20621
-21.028667,-80.197235
-21.036152,-80.188995
-21.043262,-80.18263
-21.051872,-80.177765
-21.061977,-80.174774
-21.30711,-80.187874
-21.303743,-80.19573
-21.29738,-80.20546
-21.289146,-80.21594
-21.279041,-80.22755
-21.269312,-80.2399
-21.25958,-80.25188
-21.249851,-80.26385
-21.240494,-80.27582
-21.231138,-80.28743
-21.221033,-80.29865
-21.211304,-80.309875
-21.200823,-80.32073
-21.18997,-80.33159
-21.179117,-80.34207
-21.167889,-80.35255
-21.157036,-80.3634
-21.146557,-80.37425
-21.136452,-80.3851
-21.126722,-80.39596
-21.117365,-80.40718
-21.107262,-80.41841
-21.097904,-80.430016
-21.088173,-80.441986
-21.078444,-80.45322
-21.067965,-80.46445
-21.056736,-80.47568
-21.045883,-80.4869
-21.03503,-80.49812
-21.024178,-80.50899
-21.013323,-80.52021
-21.002844,-80.53107
-20.992365,-80.54229
-20.982262,-80.55315
-20.972904,-80.563995
-20.963173,-80.5756
-20.953444,-80.587204
-20.944088,-80.5988
-20.933609,-80.610405
-20.923878,-80.62201
-20.913773,-80.633606
-20.903667,-80.64484
-20.893562,-80.65643
-20.883457,-80.66766
-20.873354,-80.67927
-20.863997,-80.690125
-20.854267,-80.70097
-20.84491,-80.71182
-20.83518,-80.72268
-20.825823,-80.733536
-20.815344,-80.744385
-20.80524,-80.75524
-20.794762,-80.766464
-20.783907,-80.77695
-20.773054,-80.787796
-20.762201,-80.79903
-20.751347,-80.81026
-20.740868,-80.82185
-20.730762,-80.833084
-20.721033,-80.84468
-20.711678,-80.85591
-20.701946,-80.86789
-20.69259,-80.879486
-20.68211,-80.8911
-20.672007,-80.902695
-20.661152,-80.913925
-20.6503,-80.9244
-20.63982,-80.93376
-20.630838,-80.941986
-20.623728,-80.94835
-20.621109,-80.95322
-20.622978,-80.95659
-20.87223,-80.94049
-20.881212,-80.93263
-20.889446,-80.92365
-20.898428,-80.91318
-20.908533,-80.90195
-20.918638,-80.89072
-20.929491,-80.87874
-20.940344,-80.86714
-20.951199,-80.85516
-20.961304,-80.84393
-20.971407,-80.83271
-20.980762,-80.82149
-20.989746,-80.81026
-20.998728,-80.7994
-21.00771,-80.78854
-21.01744,-80.77732
-21.027546,-80.766464
-21.038773,-80.75524
-21.049625,-80.744385
-21.060478,-80.73279
-21.071707,-80.72193
-21.08256,-80.71033
-21.093039,-80.69948
-21.103144,-80.687874
-21.1125,-80.67665
-21.121483,-80.66505
-21.130465,-80.65382
-21.139072,-80.64259
-21.148054,-80.63136
-21.15741,-80.62013
-21.167141,-80.60928
-21.177246,-80.59843
-21.187725,-80.587204
-21.198204,-80.57635
-21.209057,-80.565125
-21.21991,-80.553894
-21.230389,-80.54266
-21.240868,-80.53107
