mean,std,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,cost,Class,Layer Index
1512.691162109375,131.1152801513672,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1663.0,1896.0,20.0,1.0,107
1516.6317138671875,123.86139678955078,1388.0,1437.0,1475.0,1497.0,1525.0,1552.0,1572.0,1604.0,1646.0,1932.0,20.0,1.0,108
1528.8031005859375,137.41612243652344,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1597.0,1628.0,1668.0,1896.0,20.0,1.0,109
1529.591552734375,131.32418823242188,1388.0,1445.0,1483.0,1511.0,1539.0,1566.0,1591.0,1628.0,1674.0,1965.0,20.0,1.0,110
1535.793212890625,135.70657348632812,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1604.0,1634.0,1680.0,1951.0,20.0,1.0,111
1521.5516357421875,133.50799560546875,1380.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1616.0,1657.0,1920.0,20.0,1.0,112
1511.0296630859375,131.15260314941406,1380.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1646.0,1983.0,20.0,1.0,113
1541.02734375,140.25486755371094,1388.0,1452.0,1490.0,1525.0,1552.0,1585.0,1610.0,1646.0,1690.0,2038.0,20.0,1.0,114
1519.56640625,136.52410888671875,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,2004.0,20.0,1.0,115
1497.517822265625,124.94097137451172,1371.0,1421.0,1460.0,1483.0,1511.0,1532.0,1559.0,1591.0,1628.0,1924.0,20.0,1.0,116
1507.2908935546875,128.93589782714844,1371.0,1429.0,1460.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1935.0,20.0,1.0,117
1514.22314453125,125.48329162597656,1380.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1610.0,1651.0,1904.0,20.0,1.0,118
1502.4158935546875,124.53985595703125,1371.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1928.0,20.0,1.0,119
1502.0838623046875,126.9160385131836,1380.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1892.0,20.0,1.0,120
1541.3211669921875,139.11358642578125,1397.0,1460.0,1490.0,1525.0,1552.0,1578.0,1610.0,1646.0,1690.0,2116.0,20.0,1.0,121
1516.4593505859375,130.9859161376953,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1657.0,1939.0,20.0,1.0,122
1437.1513671875,196.61605834960938,1228.0,1326.0,1388.0,1429.0,1468.0,1504.0,1532.0,1572.0,1634.0,1896.0,0.0,0.0,123
1438.219482421875,199.90878295898438,1238.0,1326.0,1380.0,1429.0,1468.0,1504.0,1539.0,1585.0,1634.0,1947.0,0.0,0.0,124
1476.5853271484375,181.29222106933594,1289.0,1380.0,1437.0,1468.0,1504.0,1532.0,1566.0,1604.0,1657.0,1924.0,0.0,0.0,125
1439.515380859375,199.57359313964844,1206.0,1317.0,1380.0,1429.0,1468.0,1511.0,1552.0,1591.0,1646.0,1867.0,0.0,0.0,126
1589.214111328125,142.22647094726562,1437.0,1497.0,1532.0,1572.0,1597.0,1628.0,1663.0,1696.0,1743.0,1987.0,40.0,2.0,127
1535.96484375,130.29327392578125,1380.0,1445.0,1490.0,1518.0,1552.0,1572.0,1604.0,1634.0,1680.0,1951.0,40.0,2.0,128
1542.005859375,131.90841674804688,1413.0,1468.0,1497.0,1525.0,1552.0,1572.0,1604.0,1634.0,1680.0,2038.0,40.0,2.0,129
1545.6158447265625,135.45616149902344,1405.0,1475.0,1511.0,1539.0,1559.0,1585.0,1610.0,1640.0,1680.0,1935.0,20.0,1.0,130
1520.381103515625,133.8900146484375,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,2004.0,20.0,1.0,131
1520.8331298828125,128.0002899169922,1388.0,1437.0,1475.0,1504.0,1532.0,1559.0,1585.0,1616.0,1663.0,1969.0,20.0,1.0,132
1523.83740234375,138.81842041015625,1380.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1668.0,1947.0,20.0,1.0,133
1495.93896484375,128.40713500976562,1362.0,1421.0,1452.0,1475.0,1504.0,1532.0,1559.0,1591.0,1634.0,1892.0,20.0,1.0,134
1488.4847412109375,128.36068725585938,1354.0,1405.0,1445.0,1475.0,1497.0,1525.0,1552.0,1585.0,1628.0,1896.0,20.0,1.0,135
1515.48291015625,131.7891387939453,1380.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1908.0,20.0,1.0,136
1501.160888671875,136.00306701660156,1362.0,1421.0,1460.0,1483.0,1511.0,1539.0,1566.0,1597.0,1646.0,1920.0,20.0,1.0,137
1531.4083251953125,134.3486328125,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1591.0,1628.0,1674.0,1997.0,20.0,1.0,138
1528.53759765625,132.83729553222656,1391.6000000000008,1445.0,1483.0,1511.0,1539.0,1566.0,1591.0,1628.0,1668.0,1958.0,20.0,1.0,139
1519.888671875,137.07699584960938,1380.0,1445.0,1483.0,1511.0,1532.0,1559.0,1591.0,1616.0,1657.0,1908.0,20.0,1.0,140
1511.3988037109375,130.30941772460938,1380.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1646.0,1900.0,20.0,1.0,141
1490.7685546875,127.67949676513672,1354.0,1405.0,1445.0,1468.0,1497.0,1525.0,1552.0,1591.0,1634.0,2113.0,20.0,1.0,142
1542.5814208984375,138.65501403808594,1405.0,1468.0,1497.0,1532.0,1552.0,1585.0,1610.0,1640.0,1685.0,1976.0,20.0,1.0,143
1497.412841796875,116.4692153930664,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1552.0,1585.0,1628.0,1965.0,20.0,1.0,144
1517.8704833984375,128.53396606445312,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1892.0,20.0,1.0,145
1527.902587890625,133.92550659179688,1380.0,1445.0,1475.0,1511.0,1532.0,1559.0,1591.0,1628.0,1674.0,1962.0,20.0,1.0,146
1517.000244140625,129.80441284179688,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1657.0,1912.0,20.0,1.0,147
1508.8671875,129.7486114501953,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1597.0,1646.0,2008.0,20.0,1.0,148
1489.8087158203125,127.1478042602539,1354.0,1405.0,1445.0,1475.0,1497.0,1525.0,1552.0,1585.0,1628.0,1990.0,20.0,1.0,149
1522.238525390625,129.40786743164062,1388.0,1445.0,1475.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1965.0,20.0,1.0,150
1523.916015625,137.89505004882812,1380.0,1445.0,1483.0,1518.0,1539.0,1566.0,1591.0,1622.0,1663.0,1924.0,20.0,1.0,151
1494.91162109375,125.39799499511719,1362.0,1421.0,1452.0,1475.0,1504.0,1525.0,1552.0,1585.0,1628.0,1947.0,20.0,1.0,152
1537.9111328125,138.23057556152344,1397.0,1460.0,1497.0,1525.0,1552.0,1572.0,1604.0,1634.0,1680.0,2058.0,20.0,1.0,153
1499.4429931640625,125.64643096923828,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1932.0,20.0,1.0,154
